skim_type,skim_variable,n_missing,complete_rate,numeric.mean,numeric.sd,numeric.p0,numeric.p25,numeric.p50,numeric.p75,numeric.p100,numeric.hist
numeric,fast_chargers,0,1,13.620320855615038,22.481233319599582,0,2,6,16,254,▇▁▁▁▁
numeric,normal_chargers,0,1,23.27673796791446,53.84304269486215,0,4,8,20,548,▇▁▁▁▁
numeric,subsidies_pct,0,1,14.355370204305332,17.82249154789297,0.11146176055865172,3.609532564488272,8.106366790939042,18.67786743600258,171.37566137566137,▇▁▁▁▁
numeric,ev_pct,0,1,23.62690252120103,22.62687178360393,0,7.628841366457898,15.165890403082054,32.941503895673016,99.13793103448276,▇▃▁▁▁
numeric,education,0,1,44.0596256684492,3.9175540642474145,31.3,41.575,44.5,46.6,52.5,▁▂▆▇▂
